Filename,Scaled from,Scaled to,MSE,PSNR,Implemented_algo_MSE,Implemented_algo_PSNR
cv_Density2_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.09,79.94,0.67,71.41
cv_testimg_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",1.84,66.99,4.49,63.13
cv_Density_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",14.32,58.09,15.84,57.65
cv_ColorDifferenceError_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.28,75.19,1.27,68.63
cv_reschart_2592x1944.png,"(1944, 2592, 3)","(1111, 1481, 3)",0.25,75.60,1.22,68.80
